Excl_hierarchical,,incl_hierarchical_mergers,
X,Y,X,Y
1.8730385004752002,-2.694696814159026,2.0402024879187657,-2.797516368403003
6.246706106375733,-2.136533519691719,6.407475842933486,-2.342172628179674
10.27645436106041,-1.5269604481024235,10.180083865566992,-1.6811897794683897
14.616780515913462,-1.5049276864787138,14.619977641356371,-1.4535179093567248
18.709557815044086,-1.2772558163670493,18.612273855138397,-1.4461736554821556
22.810099561678904,-0.9247316303876976,22.968128904999872,-1.1744362621230713
27.074151438108252,-0.7337810296488816,26.986002122325168,-0.7558137912725913
31.141351733695586,-0.9173873765131275,31.06644765189028,-0.7264367757743124
35.401749752475894,-0.7851908067708706,35.4095141999801,-0.6603384909031833
39.45981540394064,-1.115682231126513,39.48310874645327,-0.7411252835234516
43.43292886506518,-1.4167966399838758,43.52290510967278,-1.3653868628618873
47.68693263295968,-2.782827860653864,47.2667390033201,-2.5625002444167686
51.506584072824566,-6.947019807534955,51.61848346332641,-2.3568611359288143
,,55.71400115569379,-2.0851237425697304
,,60.05706770378363,-2.0190254576986018
,,63.82967572641715,-2.7534508451555846
,,68.14899219978821,-1.67384552559382
,,72.3404236554429,-2.6506312909116065
,,76.29572456052838,-4.633579837045461
,,80.66710850539826,-2.716729575782735
,,84.57536599325239,-5.456136270997281
,,88.82845629673461,-5.441447763248141
,,92.88652194819936,-5.771939187603784
,,96.88658260948559,-5.639742617861527
,,100.15221788331482,-4.758432152913148
