SMT,,q_SMT,
X,Y,X,Y
2.3773449409804464,0.0006891621494730227,0.038316009853506916,0.10710357358185119
2.6643600957474542,0.06606665733516712,0.062346857035152636,0.8982588828154068
2.991900191675926,0.15188676160047943,0.08791158807945698,1.8957759293908558
3.3531101624120874,0.10968996058935437,0.11245372988198876,5.34961341653701
3.772727724694343,0.10303472187223107,0.13801846092629289,9.563617991843243
4.228206445148916,0.19755575576688164,0.1625606027288249,5.34961341653701
4.747996223887869,0.28225027133515374,0.1871027445313569,6.651733366059897
5.3316857713789965,0.4599005524387964,0.2116448863338889,12.015449077340499
5.987130533445976,0.48049870926230653,0.23772091199907908,13.608311896410985
6.709952521557886,0.471560307456228,0.2627743484224969,8.532245185029579
7.534832948229341,0.4401854033244583,0.2868051956041431,12.524529585522505
8.427929378491646,0.48960653802307913,0.3123699266484472,13.19131808547011
9.426883661108157,0.37174127858563044,0.3379346576927511,12.524529585522505
10.585766945538856,0.3178941932390011,0.36196550487439727,16.746009509009387
11.910499359752093,0.2601932989943042,0.3865076466769293,12.015449077340499
13.374703132010879,0.2474853442576663,0.41258367234211923,11.408097847193044
14.989421477348577,0.1481312240739945,0.4376371087655373,9.968817287850227
16.79908361388937,0.07487707809885075,0.4621792505680693,7.612099098850507
18.827224966147607,0.0812245192011912,0.4872326869914876,11.647264695687133
21.141728580475657,0.09678327765137633,0.5122861234149054,9.270564044876227
23.78746348916429,0.07725747809174084,0.5383621490800956,7.005862380081583
26.659306946614493,0.048921819722119606,0.5618817016408555,9.968817287850227
29.819208703014237,0.058292915833068344,0.5869351380642733,6.185821085782637
33.55086768797987,0.10498773982032679,0.6119885744876916,4.531445240887059
37.89817696620102,0.09986009260306383,0.6370420109111097,5.752543043976317
42.30698907208193,0.04157440877298815,0.6615841527136415,4.6746898058216875
47.60140373848181,0.023374370866877468,0.6866375891370595,4.772693070127565
53.3482871737029,0.008749081787640169,0.7106684363187055,7.152737875792692
60.14251465619989,0.005609978635921931,0.7372557566047819,6.121981328205462
66.74442554483808,0.00025634546284271115,0.7623091930282,3.5327120648347012
75.54105107880359,0.0035747165468370105,0.7868513348307318,2.6421552399901804
84.66106815874134,0.0029258706546796283,0.8119047712541498,2.284985117482868
94.69586233059275,0.00029419063604898133,0.8359356184357958,1.5892637869762603
106.75595393635308,0.00019463422711132736,0.8615003494800997,2.0175259452156746
134.08912173646715,0.00029603780331007604,0.8865537859035182,2.3088128438588806
2.4812279614242025,0.014924373316530902,0.9116072223269358,2.038564618864485
,,0.9371719533712402,1.8568477547224083
,,0.9617140951737719,4.001036274969214
,,0.98676753159719,4.084916624648221
