Kinugawa20,
X,Y
5.133010389123591,0.00303259758175013
5.059994110052731,0.0011874620721214518
9.915219214928506,0.004036659590310207
11.040546269995627,0.0018220503072648184
13.289925238857368,0.0012444398061376984
13.97316803854747,0.003737924718869129
14.44299788226117,0.008694904736555296
14.957300108995945,0.023413577879968554
17.439529533293392,0.041708405326418715
20.106407432919237,0.07946170547319419
22.655486130297835,0.15677048542736682
25.00409018086876,0.13978578406142375
28.0869516813172,0.17139481959264424
31.16460908569073,0.2906050617385258
34.24798660410441,0.3450480465603859
37.33380148397089,0.35198596288935025
40.42228977606152,0.30398721237743137
43.36564272193259,0.20218295923152396
46.014710230119476,0.10241207565230476
48.8111499204564,0.05859925742647636
51.896816582396696,0.060331924481981755
54.98577148647716,0.05061220925987096
58.073013650077286,0.04723816743897766
61.158515625432926,0.049136348511593306
64.24792067284478,0.04008063731611412
67.34111900125637,0.025814166484039457
70.11238705023287,0.01510065040824295
72.58694542983339,0.029657173428184042
76.60730849850071,0.015894505501127587
79.10562854615657,0.008794691220742433
80.7153131859003,0.004347869178315343
82.55657879254198,0.0018826586126010003
84.94141896140157,0.0033004596803752743
85.97013960084287,0.0020004680421053917
86.72018824488724,0.0012566236299947553
